"Brand","Manufacturer","Calories","Protein","Fat","Sodium","Fiber","Carbohydrates","Sugar","Potassium","Group"
"1 Apple_Cinnamon_Cheerios","G","110","2","2","180","1.5","10.5","10","70","1"
"2 Cheerios","G","110","6","2","290","2.0","17.0","1","105","1"
"3 Cocoa_Puffs","G","110","1","1","180","0.0","12.0","13","55","1"
"4 Count_Chocula","G","110","1","1","180","0.0","12.0","13","65","1"
"5 Golden_Grahams","G","110","1","1","280","0.0","15.0","9","45","1"
"6 Honey_Nut_Cheerios","G","110","3","1","250","1.5","11.5","10","90","1"
"7 Kix","G","110","2","1","260","0.0","21.0","3","40","1"
"8 Lucky_Charms","G","110","2","1","180","0.0","12.0","12","55","1"
"9 Multi_Grain_Cheerios","G","100","2","1","220","2.0","15.0","6","90","1"
"10 Oatmeal_Raisin_Crisp","G","130","3","2","170","1.5","13.5","10","120","1"
"11 Raisin_Nut_Bran","G","100","3","2","140","2.5","10.5","8","140","1"
"12 Total_Corn_Flakes","G","110","2","1","200","0.0","21.0","3","35","1"
"13 Total_Raisin_Bran","G","140","3","1","190","4.0","15.0","14","230","1"
"14 Total_Whole_Grain","G","100","3","1","200","3.0","16.0","3","110","1"
"15 Trix","G","110","1","1","140","0.0","13.0","12","25","1"
"16 Wheaties","G","100","3","1","200","3.0","17.0","3","110","1"
"17 Wheaties_Honey_Gold","G","110","2","1","200","1.0","16.0","8","60","2"
"18 All_Bran","K","70","4","1","260","9.0","7.0","5","320","2"
"19 Apple_Jacks","K","110","2","0","125","1.0","11.0","14","30","2"
"20 Corn_Flakes","K","100","2","0","290","1.0","21.0","2","35","2"
"21 Corn_Pops","K","110","1","0","90","1.0","13.0","12","20","2"
"22 Cracklin'_Oat_Bran","K","110","3","3","140","4.0","10.0","7","160","2"
"23 Crispix","K","110","2","0","220","1.0","21.0","3","30","2"
"24 Froot_Loops","K","110","2","1","125","1.0","11.0","13","30","2"
"25 Frosted_Flakes","K","110","1","0","200","1.0","14.0","11","25","2"
"26 Frosted_Mini_Wheats","K","100","3","0","0","3.0","14.0","7","100","2"
"27 Fruitful_Bran","K","120","3","0","240","5.0","14.0","12","190","2"
"28 Just_Right_Crunchy_Nuggets","K","110","2","1","170","1.0","17.0","6","60","2"
"29 Mueslix_Crispy_Blend","K","160","3","2","150","3.0","17.0","13","160","2"
"30 Nut&Honey_Crunch","K","120","2","1","190","0.0","15.0","9","40","2"
"31 Nutri-grain_Almond-Raisin","K","140","3","2","220","3.0","21.0","7","130","2"
"32 Nutri-grain_Wheat","K","90","3","0","170","3.0","18.0","2","90","2"
"33 Product_19","K","100","3","0","320","1.0","20.0","3","45","2"
"34 Raisin Bran","K","120","3","1","210","5.0","14.0","12","240","2"
"35 Rice_Krispies","K","110","2","0","290","0.0","22.0","3","35","2"
"36 Smacks","K","110","2","1","70","1.0","9.0","15","40","2"
"37 Special_K","Q","110","6","0","230","1.0","16.0","3","55","2"
"38 Cap'n'Crunch","Q","120","1","2","220","0.0","12.0","12","35","3"
"39 Honey_Graham_Ohs","Q","120","1","2","220","1.0","12.0","11","45","3"
"40 Life","Q","100","4","2","150","2.0","12.0","6","95","3"
"41 Puffed_Rice","Q","50","1","0","0","0.0","13.0","0","15","3"
"42 Puffed_Wheat","Q","50","2","0","0","1.0","10.0","0","50","3"
"43 Quaker_Oatmeal","Q","100","5","2","0","2.7","1.0","1","110","3"
